docid,year,num_reviews,overall_rating
hyundai_sonata,2008,100,8.72
hyundai_tiburon,2008,44,8.61
hyundai_tucson,2008,21,8.36
hyundai_veracruz,2008,77,9.05
infiniti_ex35,2008,73,9.11
infiniti_fx35,2008,33,9.03
infiniti_g35,2008,131,9.21
infiniti_g37,2008,71,9.35
infiniti_m35,2008,35,9.14
infiniti_m45,2008,11,9.16
infiniti_qx56,2008,32,9.11
jeep_commander,2008,38,8.51
jeep_compass,2008,36,7.93
jeep_grand_cherokee,2008,72,8.49
jeep_liberty,2008,98,8.65
jeep_patriot,2008,156,8.66
jeep_wrangler,2008,125,8.33
kia_optima,2008,46,8.9
kia_rio,2008,32,8.39
kia_rondo,2008,32,7.82
kia_sedona,2008,31,8.31
kia_sorento,2008,29,8.37
kia_spectra,2008,44,8.55
kia_sportage,2008,33,8.53
lexus_es_350,2008,52,9.13
lexus_gs_350,2008,29,9.29
lexus_gx_470,2008,15,9.18
lexus_is_250,2008,72,9.33
lexus_is_350,2008,23,8.4
lexus_is_f,2008,18,9.19
lexus_ls_460,2008,36,9.39
lexus_rx_350,2008,48,8.6
lexus_rx_400h,2008,26,9.12
mazda_cx-7,2008,69,8.62
mazda_cx-9,2008,130,9.03
mazda_mazda3,2008,163,9.02
mazda_mazda5,2008,79,8.97
mazda_mazda6,2008,41,8.78
mazda_mazdaspeed_mazda3,2008,39,9.1
mazda_mx-5_miata,2008,54,9.24
mazda_tribute,2008,38,7.9
mercedes-benz_c-class,2008,234,9.05
mercedes-benz_clk-class,2008,22,9.43
mercedes-benz_e-class,2008,78,9.29
mercedes-benz_gl-class,2008,86,8.87
mercedes-benz_m-class,2008,96,9.18
mercedes-benz_r-class,2008,44,9.19
mercedes-benz_s-class,2008,28,9.38
mini_cooper,2008,49,8.53
mini_cooper_clubman,2008,26,9.26
mitsubishi_eclipse,2008,23,8.54
mitsubishi_lancer,2008,87,8.7
mitsubishi_lancer_evolution,2008,28,8.46
mitsubishi_outlander,2008,56,8.84
mitsubishi_raider,2008,11,7.47
nissan_350z,2008,24,8.9
nissan_altima,2008,220,8.67
nissan_altima_hybrid,2008,56,8.78
nissan_armada,2008,39,9.02
nissan_frontier,2008,65,9.03
nissan_maxima,2008,47,8.8
nissan_pathfinder,2008,67,8.26
nissan_quest,2008,26,8.99
nissan_rogue,2008,210,9.03
nissan_sentra,2008,141,8.53
nissan_titan,2008,69,9.13
nissan_versa,2008,120,8.36
nissan_xterra,2008,43,8.65
pontiac_g5,2008,23,7.95
pontiac_g6,2008,80,8.62
pontiac_g8,2008,104,9.2
pontiac_grand_prix,2008,38,8.5
pontiac_solstice,2008,31,8.92
pontiac_torrent,2008,30,8.75
pontiac_vibe,2008,23,9.1
saturn_astra,2008,111,9.34
saturn_aura,2008,99,9.09
saturn_outlook,2008,83,8.53
saturn_sky,2008,28,9.35
saturn_vue,2008,155,8.34
saturn_vue_hybrid,2008,17,8.26
scion_tc,2008,66,9.1
scion_xb,2008,184,9.1
scion_xd,2008,149,9.2
smart_fortwo,2008,151,9.19
subaru_forester,2008,29,8.93
subaru_impreza,2008,143,8.71
subaru_legacy,2008,89,9.12
subaru_outback,2008,94,8.51
subaru_tribeca,2008,56,8.59
suzuki_forenza,2008,18,7.13
suzuki_grand_vitara,2008,17,8.51
suzuki_sx4,2008,78,8.58
suzuki_xl7,2008,40,8.88
toyota_4runner,2008,48,8.98
toyota_avalon,2008,74,8.96
toyota_camry,2008,97,7.89
toyota_camry_hybrid,2008,66,9.39
toyota_camry_solara,2008,36,9.1
toyota_corolla,2008,62,8.76
toyota_fj_cruiser,2008,52,9.19
toyota_highlander,2008,187,9.09
toyota_highlander_hybrid,2008,59,9.21
toyota_land_cruiser,2008,11,8.68
toyota_matrix,2008,26,8.54
toyota_prius,2008,180,9.24
toyota_rav4,2008,110,8.89
toyota_sequoia,2008,101,9.01
toyota_sienna,2008,57,9.09
toyota_tacoma,2008,83,8.69
toyota_tundra,2008,127,8.84
toyota_yaris,2008,167,9.27
volkswagen_eos,2008,49,8.51
volkswagen_gli,2008,22,9.3
volkswagen_gti,2008,51,9.21
volkswagen_jetta,2008,133,8.94
volkswagen_new_beetle,2008,19,8.95
volkswagen_passat,2008,88,9.32
volkswagen_r32,2008,40,8.94
volkswagen_rabbit,2008,77,8.86
volkswagen_touareg_2,2008,21,8.46
volvo_c30,2008,46,8.98
volvo_c70,2008,25,8.92
volvo_s40,2008,19,9.43
volvo_s80,2008,22,8.88
volvo_v70,2008,11,8.93
volvo_xc70,2008,24,8.02
volvo_xc90,2008,34,8.08
