docid,year,num_reviews,overall_rating
chrysler_town_and_country,2007,39,7.38
dodge_caliber,2007,310,8.23
dodge_caravan,2007,21,7.82
dodge_charger,2007,73,9.01
dodge_durango,2007,28,7.58
dodge_grand_caravan,2007,30,7.57
dodge_magnum,2007,21,8.74
dodge_nitro,2007,141,7.73
dodge_ram_pickup_1500,2007,69,8.78
dodge_ram_pickup_2500,2007,34,8.12
dodge_ram_pickup_3500,2007,14,8.24
ford_edge,2007,161,8.76
ford_escape,2007,42,8.81
ford_escape_hybrid,2007,46,8.96
ford_expedition,2007,42,9.11
ford_expedition_el,2007,31,8.56
ford_explorer,2007,35,8.36
ford_explorer_sport_trac,2007,72,8.89
ford_f-150,2007,82,8.79
ford_five_hundred,2007,61,8.84
ford_focus,2007,130,8.46
ford_freestyle,2007,70,8.98
ford_fusion,2007,143,9.1
ford_mustang,2007,140,8.68
ford_ranger,2007,41,8.22
ford_shelby_gt500,2007,24,8.82
ford_taurus,2007,25,8.07
gmc_acadia,2007,183,8.79
gmc_canyon,2007,11,7.5
gmc_envoy,2007,30,9.05
gmc_sierra_1500,2007,81,9
gmc_sierra_1500_classic,2007,12,8.71
gmc_sierra_2500hd,2007,15,9.13
gmc_yukon,2007,75,8.45
gmc_yukon_xl,2007,51,8.57
honda_accord,2007,276,8.85
honda_civic,2007,430,8.87
honda_cr-v,2007,299,8.93
honda_element,2007,67,9.03
honda_fit,2007,358,9.08
honda_odyssey,2007,211,8.1
honda_pilot,2007,135,8.51
honda_ridgeline,2007,107,8.74
honda_s2000,2007,29,9.32
hyundai_accent,2007,80,8.46
hyundai_azera,2007,121,9.11
hyundai_elantra,2007,121,9.04
hyundai_entourage,2007,143,8.37
hyundai_santa_fe,2007,294,8.93
hyundai_sonata,2007,263,8.8
hyundai_tiburon,2007,43,8.8
hyundai_tucson,2007,64,8.99
hyundai_veracruz,2007,110,8.95
infiniti_fx35,2007,28,8.75
infiniti_g35,2007,189,9.02
infiniti_m35,2007,74,8.59
infiniti_m45,2007,29,9.22
jeep_commander,2007,54,8.12
jeep_compass,2007,104,8.31
jeep_grand_cherokee,2007,91,7.58
jeep_liberty,2007,53,7.97
jeep_patriot,2007,66,8.41
jeep_wrangler,2007,155,8.37
kia_amanti,2007,20,9.52
kia_optima,2007,61,8.02
kia_rio,2007,29,7.64
kia_rondo,2007,89,8.63
kia_sedona,2007,44,9.03
kia_sorento,2007,50,8.78
kia_spectra,2007,47,8.94
kia_sportage,2007,27,8.89
lexus_es_350,2007,159,9.09
lexus_gs_350,2007,72,9.16
lexus_gs_450h,2007,20,9.13
lexus_gx_470,2007,24,9.15
lexus_is_250,2007,84,9.22
lexus_is_350,2007,37,9.28
lexus_ls_460,2007,62,9.08
lexus_rx_350,2007,78,9.11
lexus_rx_400h,2007,24,8.78
mazda_cx-7,2007,245,8.34
mazda_cx-9,2007,97,9.15
mazda_mazda3,2007,227,9.16
mazda_mazda5,2007,65,8.71
mazda_mazda6,2007,67,8.89
mazda_mazdaspeed_mazda3,2007,52,9.16
mazda_mazdaspeed_mazda6,2007,35,8.86
mazda_mx-5_miata,2007,54,9.31
mazda_rx-8,2007,17,9.06
mercedes-benz_c-class,2007,114,8.82
mercedes-benz_clk-class,2007,60,8.62
mercedes-benz_cls-class,2007,44,9.28
mercedes-benz_e-class,2007,128,9.26
mercedes-benz_gl-class,2007,128,9.29
mercedes-benz_m-class,2007,92,9.12
mercedes-benz_r-class,2007,74,8.74
mercedes-benz_s-class,2007,108,9.08
mercedes-benz_sl-class,2007,48,9.14
mercedes-benz_slk-class,2007,44,8.61
mini_cooper,2007,64,8.99
mitsubishi_eclipse,2007,51,9.08
mitsubishi_eclipse_spyder,2007,65,9.22
mitsubishi_endeavor,2007,22,9.05
mitsubishi_galant,2007,22,8.91
mitsubishi_outlander,2007,145,9.04
mitsubishi_raider,2007,13,8.55
nissan_350z,2007,34,9.34
nissan_altima,2007,220,8.91
nissan_altima_hybrid,2007,53,9.45
nissan_armada,2007,24,9.01
nissan_frontier,2007,120,8.83
nissan_maxima,2007,114,8.46
nissan_murano,2007,88,9.07
nissan_pathfinder,2007,29,8.81
nissan_quest,2007,54,8.19
nissan_sentra,2007,144,8.59
nissan_titan,2007,66,8.95
nissan_versa,2007,220,8.6
nissan_xterra,2007,50,8.66
pontiac_g5,2007,64,8.91
pontiac_g6,2007,184,8.32
pontiac_grand_prix,2007,50,8.66
pontiac_solstice,2007,72,9.01
pontiac_torrent,2007,46,8.48
pontiac_vibe,2007,46,8.92
saturn_aura,2007,216,9.17
saturn_ion,2007,59,8.14
saturn_outlook,2007,123,8.68
saturn_sky,2007,107,9.02
saturn_vue,2007,119,8.2
scion_tc,2007,136,8.7
subaru_b9_tribeca,2007,41,8.98
subaru_forester,2007,51,8.25
subaru_impreza,2007,64,8.52
subaru_legacy,2007,49,8.91
subaru_outback,2007,60,8.8
suzuki_forenza,2007,37,6.98
suzuki_grand_vitara,2007,42,8.79
suzuki_reno,2007,16,7.9
suzuki_sx4,2007,81,9.15
suzuki_xl7,2007,63,8.38
toyota_4runner,2007,78,8.93
toyota_avalon,2007,106,8.8
toyota_camry,2007,540,8.11
toyota_camry_hybrid,2007,223,9.29
toyota_camry_solara,2007,47,8.97
toyota_corolla,2007,104,8.7
toyota_fj_cruiser,2007,274,9.2
toyota_highlander,2007,27,8.15
toyota_highlander_hybrid,2007,51,8.73
toyota_matrix,2007,52,8.86
toyota_prius,2007,169,8.96
toyota_rav4,2007,212,8.71
toyota_sequoia,2007,21,8.8
toyota_sienna,2007,51,8.55
toyota_tacoma,2007,113,8.79
toyota_tundra,2007,234,8.87
toyota_yaris,2007,361,9.28
volkswagen_eos,2007,106,9.29
volkswagen_gti,2007,111,9.24
volkswagen_jetta,2007,115,8.52
volkswagen_new_beetle,2007,31,8.75
volkswagen_passat,2007,153,8.69
volkswagen_rabbit,2007,135,8.84
volkswagen_touareg,2007,29,9
volvo_c70,2007,29,8.47
volvo_s40,2007,25,8.65
volvo_s60,2007,29,8.7
volvo_s80,2007,18,9.37
volvo_v50,2007,19,8.91
volvo_v70,2007,11,9
volvo_xc70,2007,14,8.44
volvo_xc90,2007,60,8.74
